0:0,038919,2,376458,9,847721
0:0,077239,2,031575,10,001003
0:0,153880,2,223177,9,809402
0:0,345482,2,223177,10,001003
0:0,307161,2,299818,9,732760
0:0,460443,2,376458,9,732760
0:0,728685,2,376458,9,771081
0:0,690364,2,108216,9,847721
0:0,805325,2,108216,10,115964
0:0,805325,2,108216,10,345885
0:0,728685,1,839974,10,192604
0:0,805325,1,916614,9,886042
0:1,035247,2,108216,9,732760
0:0,920286,1,954935,9,771081
0:1,111888,1,916614,9,809402
0:0,996927,2,338138,9,732760
0:0,996927,2,376458,9,656120
0:1,226849,1,916614,10,039323
0:1,380130,1,916614,10,115964
0:1,571732,2,031575,10,422526
0:1,725013,2,069896,10,537487
0:1,993255,1,954935,10,499166
0:2,146536,2,031575,10,729089
0:2,338138,1,610052,10,614128
0:2,223177,1,610052,10,729089
0:2,108216,1,725013,10,882370
0:2,261497,1,648372,10,844049
0:2,491419,1,610052,10,997331
0:2,453099,1,686692,10,805729
0:2,606380,1,648372,10,882370
0:2,721341,1,188528,10,882370
0:2,989583,1,303489,10,920691
0:3,181185,1,073568,10,805729
0:3,564388,1,188528,10,844049
0:3,564388,1,150208,11,035651
0:3,717669,1,380130,11,073972
0:4,062552,1,265169,10,882370
0:4,215833,1,341810,10,920691
0:4,445755,0,958607,10,920691
0:4,637357,0,958607,10,537487
0:4,599036,0,996927,10,499166
0:4,560716,0,920286,10,460847
0:4,407434,0,920286,10,499166
0:4,215833,0,881966,10,384206
0:3,985911,0,881966,10,690768
0:3,602708,0,728685,10,652448
0:3,641028,0,498763,10,614128
0:3,641028,0,613724,10,422526
0:3,296146,0,537083,10,575808
0:3,296146,0,383802,10,652448
0:3,027904,0,115560,10,690768
0:2,989583,-0,037722,10,882370
0:2,644700,-0,114362,10,767409
0:2,453099,-0,037722,10,805729
0:2,299818,0,000599,10,652448
0:2,261497,-0,229323,10,652448
0:2,261497,-0,382604,10,575808
0:2,146536,-0,229323,10,307566
0:2,108216,-0,612526,10,537487
0:1,993255,-0,689167,10,269245
0:2,184857,-0,689167,10,384206
0:2,146536,-0,842448,10,230925
0:1,916614,-0,880768,10,269245
0:1,725013,-0,919089,9,809402
0:1,495091,-1,225651,10,001003
0:1,073568,-1,417253,9,847721
0:0,038919,-1,608854,9,771081
0:-0,191003,-1,800456,9,771081
0:-0,804128,-1,800456,9,656120
0:-0,880768,-1,877097,9,962683
0:-1,263972,-1,800456,10,115964
0:-1,570534,-1,532214,10,192604
0:-1,877097,-1,302292,10,039323
0:-1,877097,-1,110690,10,230925
0:-1,685495,-0,919089,10,384206
0:-1,455573,-0,765808,10,307566
0:-0,995729,-0,535886,10,460847
0:-0,689167,-0,612526,10,575808
0:-0,804128,-0,420925,10,384206
0:-0,842448,-0,765808,10,537487
0:-1,110690,-0,880768,10,230925
0:-1,915417,-0,880768,10,192604
0:-3,256628,2,261497,9,847721
0:-2,490222,2,414778,9,886042
0:-1,992057,2,261497,10,307566
0:-1,378932,2,491419,10,575808
0:-1,378932,2,606380,10,422526
0:-1,455573,2,797982,10,115964
0:-1,800456,2,644700,10,001003
0:-1,647175,2,721341,9,541159
0:-1,838776,2,797982,9,502839
0:-1,455573,2,644700,9,847721
0:-1,378932,2,836302,10,039323
0:-0,957409,2,644700,10,269245
0:-1,072370,2,951263,10,460847
0:-0,765808,2,759661,10,384206
0:-0,880768,2,989583,10,230925
0:-0,612526,2,721341,9,771081
0:-0,842448,2,759661,9,426198
0:-0,842448,2,874622,9,081315
0:-1,225651,2,912942,7,893385
0:-1,034050,3,296146,8,659792
0:-0,995729,2,721341,9,732760
0:-0,765808,2,606380,10,115964
0:-0,420925,3,066224,10,192604
0:-0,267643,2,797982,10,307566
0:-0,076042,2,683021,10,001003
0:-0,420925,2,759661,9,732760
0:-0,765808,2,683021,9,694440
0:-1,149011,2,759661,9,732760
0:-1,187331,2,912942,10,192604
0:-1,302292,2,721341,10,039323
