0:-2,030378,3,372786,9,541159
0:-1,953737,3,257825,9,502839
0:-1,953737,3,181185,9,426198
0:-2,183659,3,296146,9,387877
0:-2,221979,3,334466,9,541159
0:-2,107018,3,257825,9,617800
0:-1,992057,3,257825,9,924362
0:-2,720143,3,411107,9,732760
0:-2,720143,3,372786,9,962683
0:-3,218307,3,411107,10,001003
0:-3,601511,3,487747,10,115964
0:-3,563190,3,296146,9,924362
0:-3,869753,3,257825,10,154284
0:-4,061354,3,372786,10,230925
0:-4,252956,3,411107,9,962683
0:-4,214636,3,411107,10,039323
0:-4,329597,3,104544,9,847721
0:-4,789440,2,912942,10,039323
0:-4,751120,3,027904,10,001003
0:-5,325925,3,066224,10,077643
0:-5,479206,2,912942,10,115964
0:-5,632487,2,951263,10,192604
0:-5,939050,2,759661,10,001003
0:-6,168972,2,606380,10,001003
0:-6,054010,2,568060,10,192604
0:-5,824089,2,568060,10,115964
0:-5,517526,2,606380,9,924362
0:-5,325925,2,453099,10,039323
0:-4,751120,2,414778,9,847721
0:-4,367917,2,491419,9,962683
0:-4,252956,2,721341,9,962683
0:-3,524870,2,606380,10,001003
0:-3,333268,2,491419,10,230925
0:-3,448229,2,644700,9,924362
0:-3,103347,2,836302,9,579479
0:-2,950065,2,874622,9,502839
0:-3,218307,2,874622,9,656120
0:-3,141667,2,568060,9,464519
0:-3,294948,2,797982,9,694440
0:-3,294948,2,836302,9,694440
0:-3,294948,2,644700,9,579479
0:-3,256628,2,836302,9,464519
0:-2,988386,2,606380,9,426198
0:-2,758464,2,721341,9,732760
0:-2,298620,2,376458,9,886042
0:-2,068698,2,721341,9,771081
0:-1,915417,2,338138,9,962683
0:-1,953737,2,606380,9,962683
0:-2,030378,2,644700,9,962683
0:-1,838776,2,606380,9,694440
0:-2,107018,2,721341,9,809402
0:-1,953737,2,568060,9,809402
0:-1,800456,2,568060,9,771081
0:-1,800456,2,299818,9,962683
0:-1,417253,2,338138,9,464519
0:-1,302292,2,299818,9,464519
0:-1,072370,2,108216,9,426198
0:-1,187331,2,108216,9,349558
0:-0,919089,2,376458,9,502839
0:-0,650847,2,414778,9,809402
0:-0,804128,2,338138,10,001003
0:-0,880768,2,299818,10,039323
0:-0,689167,2,491419,10,269245
0:-0,727487,2,491419,10,230925
0:-0,995729,2,491419,10,115964
0:-1,034050,2,453099,9,886042
0:-1,225651,2,376458,9,502839
0:-1,110690,2,223177,9,234596
0:-0,919089,1,916614,9,196277
0:-0,689167,2,338138,9,004675
0:-0,689167,2,529739,9,349558
0:-0,459245,2,491419,9,809402
0:-0,305964,2,414778,10,154284
0:-0,191003,2,491419,10,039323
0:-0,037722,2,414778,10,115964
0:-0,152682,2,453099,10,422526
0:-0,037722,2,338138,10,192604
0:-0,076042,2,414778,10,001003
0:0,230521,2,529739,9,886042
0:0,307161,2,184857,9,809402
0:0,575403,2,491419,9,502839
0:0,345482,2,529739,9,617800
0:0,383802,2,223177,9,541159
0:0,575403,2,453099,9,924362
0:0,498763,2,338138,10,154284
0:0,268841,2,338138,9,886042
0:0,268841,1,954935,10,115964
0:-0,114362,2,184857,9,847721
0:0,000599,2,108216,9,617800
0:0,192200,2,069896,9,924362
0:0,383802,2,108216,10,001003
0:0,613724,1,954935,9,924362
0:0,881966,1,839974,10,077643
0:1,073568,1,993255,9,617800
0:1,150208,1,533411,9,426198
0:0,920286,1,648372,9,196277
0:0,920286,1,763333,9,004675
0:1,035247,1,993255,9,081315
0:0,805325,1,993255,9,004675
0:0,920286,2,069896,9,196277
0:1,150208,2,223177,9,042995
0:1,456771,1,993255,9,234596
0:1,839974,2,146536,9,579479
0:2,299818,2,376458,9,732760
0:2,606380,2,414778,9,809402
0:2,797982,2,414778,9,962683
0:2,951263,2,376458,9,962683
0:2,951263,2,606380,10,077643
0:2,606380,2,453099,10,039323
0:2,338138,2,606380,9,886042
0:1,993255,2,759661,9,886042
0:1,993255,2,912942,9,656120
0:2,069896,2,836302,9,502839
0:2,069896,2,912942,9,311237
0:2,261497,2,683021,9,196277
0:2,338138,2,529739,9,426198
0:2,568060,2,683021,9,426198
0:2,644700,2,644700,9,847721
0:2,683021,2,989583,9,924362
0:2,529739,2,759661,10,077643
0:2,376458,2,836302,10,001003
0:2,108216,3,181185,9,694440
0:1,839974,2,836302,9,656120
0:1,993255,2,989583,9,541159
0:2,338138,2,912942,9,579479
0:2,491419,2,874622,9,579479
0:2,644700,2,836302,9,694440
0:2,874622,2,721341,10,001003
0:2,683021,2,683021,10,154284
0:2,376458,2,989583,10,269245
0:2,299818,3,066224,9,886042
0:2,031575,3,181185,9,771081
0:2,184857,3,142864,9,617800
0:2,031575,2,874622,9,464519
0:2,108216,2,683021,9,694440
0:2,261497,2,644700,9,694440
0:2,299818,2,759661,9,962683
0:2,299818,2,797982,10,230925
0:2,146536,2,874622,10,192604
0:1,801653,2,606380,10,230925
0:1,456771,2,606380,10,039323
0:1,571732,2,568060,9,656120
0:1,495091,2,874622,9,771081
0:1,725013,2,836302,9,771081
0:1,839974,3,066224,9,541159
0:1,916614,3,104544,9,886042
0:2,261497,3,066224,9,924362
0:2,414778,3,027904,10,077643
0:2,453099,3,296146,10,230925
0:2,414778,3,219505,10,115964
0:2,108216,3,257825,9,962683
0:1,954935,2,874622,9,809402
0:1,839974,2,989583,9,502839
0:1,571732,2,874622,9,502839
0:1,571732,2,683021,9,771081
0:1,571732,2,644700,10,001003
0:1,380130,2,912942,10,115964
0:1,571732,2,797982,10,384206
0:1,610052,2,951263,10,077643
0:1,839974,2,989583,9,732760
0:1,878294,2,989583,9,349558
0:1,610052,2,912942,9,464519
0:1,418450,3,066224,9,196277
0:1,571732,3,066224,9,311237
0:1,495091,2,989583,9,349558
0:1,533411,2,951263,9,617800
0:1,686692,2,568060,9,387877
0:1,725013,2,644700,9,464519
0:1,571732,2,797982,9,426198
0:1,495091,2,836302,9,771081
0:1,533411,2,644700,9,809402
0:1,495091,2,989583,9,732760
0:1,265169,2,912942,9,847721
0:1,495091,2,874622,9,924362
0:1,341810,2,797982,9,771081
0:1,341810,2,912942,9,886042
0:1,610052,2,912942,10,001003
0:1,265169,2,951263,9,924362
0:1,418450,2,989583,9,771081
